Dpy-13:474_498
#hits:150
Trascript_details:'NR_070265', '3', '+', '12785975', '13210622'
Trascript_details:'NM_069355', '4', '+', '9821874', '9823046'
Trascript_details:'NM_073899', '5', '-', '13317061', '13317984'
Trascript_details:'NR_070178', '4', '+', '3674859', '4526957'
Trascript_details:'NR_050745', '4', '-', '1217410', '1920720'
Trascript_details:'NM_073485', '5', '+', '11385358', '11386325'
Trascript_details:'NM_072673', '5', '-', '8049804', '8050844'
Trascript_details:'NM_182407', '5', '+', '18638455', '18639527'
Trascript_details:'NM_073512', '5', '+', '11484035', '11484980'
Trascript_details:'NM_001306994', '4', '-', '12108749', '12109589'
Trascript_details:'NM_072337', '5', '+', '6835636', '6836646'
Trascript_details:'NM_069466', '4', '+', '10216455', '10217381'
Trascript_details:'NM_069428', '4', '-', '10084463', '10085416'
Trascript_details:'NR_052696', '3', '-', '12847169', '13553664'
Trascript_details:'NM_072334', '5', '+', '6829686', '6830676'
Trascript_details:'NM_068118', '4', '+', '4235623', '4236640'
Trascript_details:'NM_078263', '10', '-', '16380949', '16389255'
Trascript_details:'NM_001047831', '10', '+', '12105077', '12105917'
Trascript_details:'NM_073039', '5', '-', '7913840', '8316095'
Trascript_details:'NM_069896', '4', '-', '12108749', '12110223'
Trascript_details:'NM_063960', '2', '-', '11012434', '11013701'
Trascript_details:'NM_076472', '10', '-', '5148882', '5150401'
Trascript_details:'NM_061259', '2', '+', '104542', '105722'
Trascript_details:'NM_070565', '4', '-', '16601523', '16602743'
Trascript_details:'NM_078262', '10', '-', '16380949', '16389255'
Trascript_details:'NM_075994', '10', '-', '2144648', '2145639'
Trascript_details:'NM_072975', '5', '-', '9164332', '9165267'
Trascript_details:'NM_181973', '3', '+', '11703909', '11704885'
Trascript_details:'NM_077468', '10', '+', '11199410', '11200311'
Trascript_details:'NM_001047830', '10', '+', '12104861', '12105917'
Trascript_details:'NM_069299', '4', '+', '9563370', '9564379'
Dpy-13:828_852
#hits:66
Trascript_details:'NM_059689', '1', '+', '7401693', '7402705'
Trascript_details:'NM_073652', '5', '-', '12166686', '12167734'
Trascript_details:'NM_001307298', '4', '-', '7150681', '7152478'
Trascript_details:'NM_063457', '2', '+', '8732999', '8734147'
Trascript_details:'NM_071796', '5', '-', '4341612', '4345982'
Trascript_details:'NM_069125', '4', '+', '8824800', '8825959'
Trascript_details:'NM_072335', '5', '+', '6831168', '6832195'
Trascript_details:'NM_063908', '2', '+', '10704862', '10705901'
Trascript_details:'NR_049925', '4', '+', '1069454', '1689256'
Trascript_details:'NM_058793', '1', '-', '3651298', '3652602'
Trascript_details:'NM_077559', '10', '-', '11711310', '11712213'
Trascript_details:'NM_182305', '4', '+', '1548732', '1549673'
Trascript_details:'NM_063909', '2', '+', '10707162', '10708163'
Trascript_details:'NM_067299', '3', '-', '12992578', '12993592'
Trascript_details:'NM_062477', '2', '-', '4866537', '4867418'
Trascript_details:'NM_001029723', '10', '+', '6279979', '6280885'
Trascript_details:'NR_070188', '3', '+', '11023519', '12038522'
Trascript_details:'NR_070304', '3', '-', '11680279', '11746612'
Trascript_details:'NM_069126', '4', '-', '8822992', '8824151'
Trascript_details:'NM_069971', '4', '-', '12427522', '12428474'
Trascript_details:'NM_067581', '4', '-', '762452', '763664'
Trascript_details:'NM_068119', '4', '-', '4243578', '4244580'
Trascript_details:'NM_078121', '10', '-', '15175036', '15176393'
Trascript_details:'NM_062479', '2', '-', '4872211', '4873121'
Trascript_details:'NM_001047459', '4', '+', '7753509', '7754600'
Trascript_details:'NM_061512', '2', '-', '1105052', '1106930'
Trascript_details:'NM_072124', '5', '-', '5835876', '5836794'
Trascript_details:'NR_050746', '4', '+', '1217410', '1920720'
Trascript_details:'NM_001047458', '4', '+', '7753395', '7754600'
Trascript_details:'NM_181982', '3', '-', '11705612', '11706544'
Trascript_details:'NM_073933', '5', '+', '13441952', '13443357'
Trascript_details:'NM_069160', '4', '-', '8978910', '8979780'
Trascript_details:'NM_059690', '1', '-', '7403337', '7404349'
Trascript_details:'NM_069125', '4', '-', '8822992', '8824151'
Trascript_details:'NM_182455', '10', '+', '6329123', '6330026'
Trascript_details:'NM_073899', '5', '-', '13317061', '13317984'
Trascript_details:'NM_182467', '10', '+', '6331672', '6332575'
Trascript_details:'NR_070178', '4', '+', '3674859', '4526957'
Trascript_details:'NM_058794', '1', '+', '3653999', '3655268'
Trascript_details:'NM_072673', '5', '-', '8049804', '8050844'
Trascript_details:'NM_073485', '5', '+', '11385358', '11386325'
Trascript_details:'NR_050721', '4', '+', '1238013', '1752225'
Trascript_details:'NM_067693', '4', '+', '1548732', '1549673'
Trascript_details:'NM_001306994', '4', '-', '12108749', '12109589'
Trascript_details:'NM_072337', '5', '+', '6835636', '6836646'
Trascript_details:'NM_069466', '4', '+', '10216455', '10217381'
Trascript_details:'NM_068722', '4', '-', '7150681', '7152478'
Trascript_details:'NM_076659', '10', '+', '6326351', '6327257'
Trascript_details:'NM_063809', '2', '+', '10248930', '10250811'
Trascript_details:'NR_052696', '3', '-', '12847169', '13553664'
Trascript_details:'NM_063358', '2', '-', '8358250', '8359295'
Trascript_details:'NM_068118', '4', '+', '4235623', '4236640'
Trascript_details:'NM_078263', '10', '-', '16380949', '16389255'
Trascript_details:'NM_073039', '5', '-', '7913840', '8316095'
Trascript_details:'NM_069896', '4', '-', '12108749', '12110223'
Trascript_details:'NM_070647', '4', '-', '17182847', '17183693'
Trascript_details:'NM_069126', '4', '+', '8824800', '8825959'
Trascript_details:'NM_001027491', '3', '-', '9337079', '9344314'
Trascript_details:'NR_070175', '4', '+', '1356070', '1628498'
Trascript_details:'NM_075558', '5', '-', '20536476', '20537907'
Trascript_details:'NM_073487', '5', '-', '11388871', '11389838'
Trascript_details:'NM_078262', '10', '-', '16380949', '16389255'
Trascript_details:'NM_076658', '10', '+', '6323451', '6324357'
Trascript_details:'NM_181973', '3', '+', '11703909', '11704885'
Trascript_details:'NM_001027492', '3', '-', '9337079', '9344314'
Trascript_details:'NM_071851', '5', '-', '4652895', '4653944'
Dpy-13:812_836
#hits:66
Trascript_details:'NM_069706', '4', '+', '11225493', '11226463'
Trascript_details:'NM_001038488', '10', '+', '421724', '422647'
Trascript_details:'NM_182468', '10', '+', '6334261', '6335185'
Trascript_details:'NR_070265', '3', '+', '12785975', '13210622'
Trascript_details:'NM_069125', '4', '+', '8824800', '8825959'
Trascript_details:'NM_072335', '5', '+', '6831168', '6832195'
Trascript_details:'NM_063908', '2', '+', '10704862', '10705901'
Trascript_details:'NM_072974', '5', '-', '9162027', '9162966'
Trascript_details:'NM_067009', '3', '-', '10986767', '10987731'
Trascript_details:'NM_073501', '5', '-', '11449282', '11450323'
Trascript_details:'NM_067299', '3', '-', '12992578', '12993592'
Trascript_details:'NM_077469', '10', '+', '11201473', '11202377'
Trascript_details:'NM_062477', '2', '-', '4866537', '4867418'
Trascript_details:'NM_001029723', '10', '+', '6279979', '6280885'
Trascript_details:'NR_070188', '3', '+', '11023519', '12038522'
Trascript_details:'NR_070304', '3', '-', '11680279', '11746612'
Trascript_details:'NM_069126', '4', '-', '8822992', '8824151'
Trascript_details:'NM_067302', '3', '+', '13018918', '13020016'
Trascript_details:'NM_073085', '5', '-', '9632297', '9633302'
Trascript_details:'NM_067581', '4', '-', '762452', '763664'
Trascript_details:'NM_059844', '1', '-', '8243747', '8244942'
Trascript_details:'NM_068119', '4', '-', '4243578', '4244580'
Trascript_details:'NM_062479', '2', '-', '4872211', '4873121'
Trascript_details:'NM_001047459', '4', '+', '7753509', '7754600'
Trascript_details:'NM_067504', '4', '-', '325518', '326671'
Trascript_details:'NM_181982', '3', '-', '11705612', '11706544'
Trascript_details:'NM_001047458', '4', '+', '7753395', '7754600'
Trascript_details:'NM_069160', '4', '-', '8978910', '8979780'
Trascript_details:'NM_069125', '4', '-', '8822992', '8824151'
Trascript_details:'NM_182455', '10', '+', '6329123', '6330026'
Trascript_details:'NM_073899', '5', '-', '13317061', '13317984'
Trascript_details:'NM_182467', '10', '+', '6331672', '6332575'
Trascript_details:'NR_070178', '4', '+', '3674859', '4526957'
Trascript_details:'NM_073485', '5', '+', '11385358', '11386325'
Trascript_details:'NM_182407', '5', '+', '18638455', '18639527'
Trascript_details:'NM_063181', '2', '+', '7544085', '7545211'
Trascript_details:'NM_073512', '5', '+', '11484035', '11484980'
Trascript_details:'NM_001306994', '4', '-', '12108749', '12109589'
Trascript_details:'NM_077709', '10', '-', '12636084', '12636988'
Trascript_details:'NM_072337', '5', '+', '6835636', '6836646'
Trascript_details:'NM_077291', '10', '+', '10077567', '10078511'
Trascript_details:'NM_069428', '4', '-', '10084463', '10085416'
Trascript_details:'NM_182112', '2', '+', '7544085', '7545211'
Trascript_details:'NM_076659', '10', '+', '6326351', '6327257'
Trascript_details:'NR_052696', '3', '-', '12847169', '13553664'
Trascript_details:'NM_072334', '5', '+', '6829686', '6830676'
Trascript_details:'NM_068118', '4', '+', '4235623', '4236640'
Trascript_details:'NM_078263', '10', '-', '16380949', '16389255'
Trascript_details:'NM_069896', '4', '-', '12108749', '12110223'
Trascript_details:'NM_069126', '4', '+', '8824800', '8825959'
Trascript_details:'NM_001027491', '3', '-', '9337079', '9344314'
Trascript_details:'NM_067008', '3', '-', '10984513', '10985485'
Trascript_details:'NM_073883', '5', '-', '13201083', '13202085'
Trascript_details:'NM_073487', '5', '-', '11388871', '11389838'
Trascript_details:'NM_078262', '10', '-', '16380949', '16389255'
Trascript_details:'NM_076658', '10', '+', '6323451', '6324357'
Trascript_details:'NM_064264', '2', '-', '12493735', '12495030'
Trascript_details:'NM_063961', '2', '-', '11015632', '11016765'
Trascript_details:'NM_069299', '4', '+', '9563370', '9564379'
Trascript_details:'NM_181973', '3', '+', '11703909', '11704885'
Trascript_details:'NM_001027492', '3', '-', '9337079', '9344314'
Trascript_details:'NM_077468', '10', '+', '11199410', '11200311'
Trascript_details:'NM_067007', '3', '-', '10982100', '10983127'
Trascript_details:'NM_073882', '5', '-', '13198311', '13199301'
Trascript_details:'NM_071851', '5', '-', '4652895', '4653944'
Trascript_details:'NM_001307715', '4', '-', '325518', '326529'
Dpy-13:462_486
#hits:66
Trascript_details:'NM_059689', '1', '+', '7401693', '7402705'
Trascript_details:'NM_001306597', '2', '-', '7167634', '7168606'
Trascript_details:'NM_063409', '2', '-', '8568026', '8569018'
Trascript_details:'NM_072335', '5', '+', '6831168', '6832195'
Trascript_details:'NM_069125', '4', '+', '8824800', '8825959'
Trascript_details:'NM_072974', '5', '-', '9162027', '9162966'
Trascript_details:'NM_067009', '3', '-', '10986767', '10987731'
Trascript_details:'NM_070407', '4', '-', '14985612', '14986720'
Trascript_details:'NM_063909', '2', '+', '10707162', '10708163'
Trascript_details:'NM_001269483', '5', '+', '12353001', '12354061'
Trascript_details:'NM_067299', '3', '-', '12992578', '12993592'
Trascript_details:'NM_067737', '4', '-', '1817656', '1820249'
Trascript_details:'NM_062477', '2', '-', '4866537', '4867418'
Trascript_details:'NR_070188', '3', '+', '11023519', '12038522'
Trascript_details:'NR_070304', '3', '-', '11680279', '11746612'
Trascript_details:'NM_069126', '4', '-', '8822992', '8824151'
Trascript_details:'NM_001269484', '5', '+', '12353301', '12354061'
Trascript_details:'NM_171361', '4', '+', '6377095', '6378097'
Trascript_details:'NM_069971', '4', '-', '12427522', '12428474'
Trascript_details:'NM_062966', '2', '+', '6714257', '6715756'
Trascript_details:'NM_068119', '4', '-', '4243578', '4244580'
Trascript_details:'NM_063086', '2', '-', '7167634', '7168606'
Trascript_details:'NM_062479', '2', '-', '4872211', '4873121'
Trascript_details:'NM_181982', '3', '-', '11705612', '11706544'
Trascript_details:'NM_072973', '5', '-', '9159671', '9160604'
Trascript_details:'NM_059557', '1', '+', '6843621', '6845091'
Trascript_details:'NM_066413', '3', '-', '8262394', '8263558'
Trascript_details:'NM_072124', '5', '-', '5835876', '5836794'
Trascript_details:'NM_069715', '4', '-', '11264924', '11265855'
Trascript_details:'NM_069160', '4', '-', '8978910', '8979780'
Trascript_details:'NM_069714', '4', '-', '11264924', '11265855'
Trascript_details:'NM_069125', '4', '-', '8822992', '8824151'
Trascript_details:'NR_070178', '4', '+', '3674859', '4526957'
Trascript_details:'NM_068123', '4', '+', '4263333', '4265168'
Trascript_details:'NR_050745', '4', '-', '1217410', '1920720'
Trascript_details:'NM_073485', '5', '+', '11385358', '11386325'
Trascript_details:'NM_072673', '5', '-', '8049804', '8050844'
Trascript_details:'NM_070299', '4', '-', '14098342', '14099327'
Trascript_details:'NM_182407', '5', '+', '18638455', '18639527'
Trascript_details:'NM_073512', '5', '+', '11484035', '11484980'
Trascript_details:'NM_001306994', '4', '-', '12108749', '12109589'
Trascript_details:'NM_069466', '4', '+', '10216455', '10217381'
Trascript_details:'NM_077291', '10', '+', '10077567', '10078511'
Trascript_details:'NM_061234', '2', '+', '23346', '24347'
Trascript_details:'NM_069428', '4', '-', '10084463', '10085416'
Trascript_details:'NM_001306598', '2', '-', '7167634', '7168606'
Trascript_details:'NM_001029563', '10', '-', '13510039', '13510999'
Trascript_details:'NR_052696', '3', '-', '12847169', '13553664'
Trascript_details:'NM_063358', '2', '-', '8358250', '8359295'
Trascript_details:'NM_068118', '4', '+', '4235623', '4236640'
Trascript_details:'NM_065685', '3', '+', '5107293', '5108404'
Trascript_details:'NM_073039', '5', '-', '7913840', '8316095'
Trascript_details:'NM_069896', '4', '-', '12108749', '12110223'
Trascript_details:'NM_063960', '2', '-', '11012434', '11013701'
Trascript_details:'NM_069714', '4', '+', '11263378', '11264309'
Trascript_details:'NM_069126', '4', '+', '8824800', '8825959'
Trascript_details:'NM_067008', '3', '-', '10984513', '10985485'
Trascript_details:'NM_076472', '10', '-', '5148882', '5150401'
Trascript_details:'NM_073487', '5', '-', '11388871', '11389838'
Trascript_details:'NM_077873', '10', '+', '13591427', '13592391'
Trascript_details:'NM_069715', '4', '+', '11263378', '11264309'
Trascript_details:'NM_075994', '10', '-', '2144648', '2145639'
Trascript_details:'NM_064264', '2', '-', '12493735', '12495030'
Trascript_details:'NM_072975', '5', '-', '9164332', '9165267'
Trascript_details:'NM_181973', '3', '+', '11703909', '11704885'
Trascript_details:'NM_067007', '3', '-', '10982100', '10983127'
Dpy-13:531_555
#hits:66
Trascript_details:'NM_064020', '2', '-', '11336663', '11337685'
Trascript_details:'NM_059689', '1', '+', '7401693', '7402705'
Trascript_details:'NM_001038488', '10', '+', '421724', '422647'
Trascript_details:'NR_070265', '3', '+', '12785975', '13210622'
Trascript_details:'NM_066328', '3', '+', '7948824', '7949842'
Trascript_details:'NM_072335', '5', '+', '6831168', '6832195'
Trascript_details:'NM_063908', '2', '+', '10704862', '10705901'
Trascript_details:'NM_072974', '5', '-', '9162027', '9162966'
Trascript_details:'NM_073245', '5', '-', '10291768', '10292787'
Trascript_details:'NM_070407', '4', '-', '14985612', '14986720'
Trascript_details:'NM_062478', '2', '-', '4869771', '4870766'
Trascript_details:'NM_058687', '1', '+', '3010691', '3011609'
Trascript_details:'NM_073501', '5', '-', '11449282', '11450323'
Trascript_details:'NM_063909', '2', '+', '10707162', '10708163'
Trascript_details:'NM_067299', '3', '-', '12992578', '12993592'
Trascript_details:'NM_067737', '4', '-', '1817656', '1820249'
Trascript_details:'NM_077469', '10', '+', '11201473', '11202377'
Trascript_details:'NM_062477', '2', '-', '4866537', '4867418'
Trascript_details:'NR_070188', '3', '+', '11023519', '12038522'
Trascript_details:'NR_070304', '3', '-', '11680279', '11746612'
Trascript_details:'NM_067302', '3', '+', '13018918', '13020016'
Trascript_details:'NM_073085', '5', '-', '9632297', '9633302'
Trascript_details:'NM_171361', '4', '+', '6377095', '6378097'
Trascript_details:'NM_077846', '10', '-', '13466668', '13467668'
Trascript_details:'NM_068749', '4', '-', '7245493', '7246629'
Trascript_details:'NM_067581', '4', '-', '762452', '763664'
Trascript_details:'NM_059844', '1', '-', '8243747', '8244942'
Trascript_details:'NM_064730', '3', '+', '41061', '41970'
Trascript_details:'NM_078121', '10', '-', '15175036', '15176393'
Trascript_details:'NM_062479', '2', '-', '4872211', '4873121'
Trascript_details:'NM_067504', '4', '-', '325518', '326671'
Trascript_details:'NM_072973', '5', '-', '9159671', '9160604'
Trascript_details:'NM_181982', '3', '-', '11705612', '11706544'
Trascript_details:'NM_073933', '5', '+', '13441952', '13443357'
Trascript_details:'NM_001083208', '4', '-', '10889516', '10889849'
Trascript_details:'NM_059690', '1', '-', '7403337', '7404349'
Trascript_details:'NM_069355', '4', '+', '9821874', '9823046'
Trascript_details:'NM_073899', '5', '-', '13317061', '13317984'
Trascript_details:'NR_070178', '4', '+', '3674859', '4526957'
Trascript_details:'NR_050745', '4', '-', '1217410', '1920720'
Trascript_details:'NM_073485', '5', '+', '11385358', '11386325'
Trascript_details:'NM_070299', '4', '-', '14098342', '14099327'
Trascript_details:'NM_182407', '5', '+', '18638455', '18639527'
Trascript_details:'NM_073277', '5', '-', '10423984', '10424987'
Trascript_details:'NM_073512', '5', '+', '11484035', '11484980'
Trascript_details:'NM_001306994', '4', '-', '12108749', '12109589'
Trascript_details:'NM_072337', '5', '+', '6835636', '6836646'
Trascript_details:'NM_069466', '4', '+', '10216455', '10217381'
Trascript_details:'NM_077291', '10', '+', '10077567', '10078511'
Trascript_details:'NR_052696', '3', '-', '12847169', '13553664'
Trascript_details:'NM_072334', '5', '+', '6829686', '6830676'
Trascript_details:'NM_068118', '4', '+', '4235623', '4236640'
Trascript_details:'NM_078263', '10', '-', '16380949', '16389255'
Trascript_details:'NM_069896', '4', '-', '12108749', '12110223'
Trascript_details:'NM_063960', '2', '-', '11012434', '11013701'
Trascript_details:'NM_001027491', '3', '-', '9337079', '9344314'
Trascript_details:'NM_076472', '10', '-', '5148882', '5150401'
Trascript_details:'NM_061259', '2', '+', '104542', '105722'
Trascript_details:'NM_070565', '4', '-', '16601523', '16602743'
Trascript_details:'NM_078262', '10', '-', '16380949', '16389255'
Trascript_details:'NM_001307715', '4', '-', '325518', '326529'
Trascript_details:'NM_072975', '5', '-', '9164332', '9165267'
Trascript_details:'NM_181973', '3', '+', '11703909', '11704885'
Trascript_details:'NM_001027492', '3', '-', '9337079', '9344314'
Trascript_details:'NM_077468', '10', '+', '11199410', '11200311'
Trascript_details:'NM_069299', '4', '+', '9563370', '9564379'
Dpy-13:354_378
#hits:66
Trascript_details:'NM_069706', '4', '+', '11225493', '11226463'
Trascript_details:'NM_001038488', '10', '+', '421724', '422647'
Trascript_details:'NM_001307045', '4', '-', '11973627', '12010857'
Trascript_details:'NR_070265', '3', '+', '12785975', '13210622'
Trascript_details:'NM_069125', '4', '+', '8824800', '8825959'
Trascript_details:'NM_067009', '3', '-', '10986767', '10987731'
Trascript_details:'NM_070407', '4', '-', '14985612', '14986720'
Trascript_details:'NM_062478', '2', '-', '4869771', '4870766'
Trascript_details:'NM_059634', '1', '-', '7202239', '7203506'
Trascript_details:'NM_063909', '2', '+', '10707162', '10708163'
Trascript_details:'NM_001269483', '5', '+', '12353001', '12354061'
Trascript_details:'NM_067737', '4', '-', '1817656', '1820249'
Trascript_details:'NR_070304', '3', '-', '11680279', '11746612'
Trascript_details:'NR_070188', '3', '+', '11023519', '12038522'
Trascript_details:'NM_069126', '4', '-', '8822992', '8824151'
Trascript_details:'NM_001269484', '5', '+', '12353301', '12354061'
Trascript_details:'NM_067302', '3', '+', '13018918', '13020016'
Trascript_details:'NM_171361', '4', '+', '6377095', '6378097'
Trascript_details:'NM_077846', '10', '-', '13466668', '13467668'
Trascript_details:'NM_001129363', '4', '-', '11973627', '11999386'
Trascript_details:'NM_068749', '4', '-', '7245493', '7246629'
Trascript_details:'NM_067581', '4', '-', '762452', '763664'
Trascript_details:'NM_001268675', '4', '-', '11973627', '11996352'
Trascript_details:'NM_001268672', '4', '-', '11973627', '12010857'
Trascript_details:'NM_001047459', '4', '+', '7753509', '7754600'
Trascript_details:'NM_181982', '3', '-', '11705612', '11706544'
Trascript_details:'NM_001307046', '4', '-', '11973627', '12010857'
Trascript_details:'NM_072124', '5', '-', '5835876', '5836794'
Trascript_details:'NM_001047458', '4', '+', '7753395', '7754600'
Trascript_details:'NM_073276', '5', '-', '10420866', '10421869'
Trascript_details:'NM_069160', '4', '-', '8978910', '8979780'
Trascript_details:'NM_069125', '4', '-', '8822992', '8824151'
Trascript_details:'NR_070178', '4', '+', '3674859', '4526957'
Trascript_details:'NR_050745', '4', '-', '1217410', '1920720'
Trascript_details:'NM_073485', '5', '+', '11385358', '11386325'
Trascript_details:'NM_072673', '5', '-', '8049804', '8050844'
Trascript_details:'NM_070299', '4', '-', '14098342', '14099327'
Trascript_details:'NM_001268674', '4', '-', '11973627', '12003079'
Trascript_details:'NM_063181', '2', '+', '7544085', '7545211'
Trascript_details:'NM_069872', '4', '-', '11973627', '12010857'
Trascript_details:'NM_073277', '5', '-', '10423984', '10424987'
Trascript_details:'NM_001307454', '4', '-', '4655821', '4656556'
Trascript_details:'NM_073512', '5', '+', '11484035', '11484980'
Trascript_details:'NM_068168', '4', '+', '4446228', '4446701'
Trascript_details:'NM_072337', '5', '+', '6835636', '6836646'
Trascript_details:'NM_069466', '4', '+', '10216455', '10217381'
Trascript_details:'NM_077291', '10', '+', '10077567', '10078511'
Trascript_details:'NM_069428', '4', '-', '10084463', '10085416'
Trascript_details:'NM_182112', '2', '+', '7544085', '7545211'
Trascript_details:'NM_069873', '4', '-', '11973627', '12010857'
Trascript_details:'NM_068118', '4', '+', '4235623', '4236640'
Trascript_details:'NM_073039', '5', '-', '7913840', '8316095'
Trascript_details:'NM_069126', '4', '+', '8824800', '8825959'
Trascript_details:'NM_067008', '3', '-', '10984513', '10985485'
Trascript_details:'NM_073487', '5', '-', '11388871', '11389838'
Trascript_details:'NM_070565', '4', '-', '16601523', '16602743'
Trascript_details:'NM_001307902', '10', '-', '9233619', '9234541'
Trascript_details:'NM_077873', '10', '+', '13591427', '13592391'
Trascript_details:'NM_073580', '5', '+', '11829575', '11831009'
Trascript_details:'NM_064264', '2', '-', '12493735', '12495030'
Trascript_details:'NM_068206', '4', '-', '4655821', '4657579'
Trascript_details:'NM_069299', '4', '+', '9563370', '9564379'
Trascript_details:'NM_181973', '3', '+', '11703909', '11704885'
Trascript_details:'NM_001268673', '4', '-', '11973627', '12010857'
Trascript_details:'NM_067007', '3', '-', '10982100', '10983127'
Trascript_details:'NM_071851', '5', '-', '4652895', '4653944'
Dpy-13:771_795
#hits:65
Trascript_details:'NM_073652', '5', '-', '12166686', '12167734'
Trascript_details:'NM_001038488', '10', '+', '421724', '422647'
Trascript_details:'NM_001306597', '2', '-', '7167634', '7168606'
Trascript_details:'NM_072335', '5', '+', '6831168', '6832195'
Trascript_details:'NM_058793', '1', '-', '3651298', '3652602'
Trascript_details:'NM_067009', '3', '-', '10986767', '10987731'
Trascript_details:'NM_077559', '10', '-', '11711310', '11712213'
Trascript_details:'NM_058687', '1', '+', '3010691', '3011609'
Trascript_details:'NM_063909', '2', '+', '10707162', '10708163'
Trascript_details:'NM_001269483', '5', '+', '12353001', '12354061'
Trascript_details:'NM_001270294', '10', '+', '13469401', '13470308'
Trascript_details:'NM_062477', '2', '-', '4866537', '4867418'
Trascript_details:'NM_001029723', '10', '+', '6279979', '6280885'
Trascript_details:'NM_001269484', '5', '+', '12353301', '12354061'
Trascript_details:'NM_171361', '4', '+', '6377095', '6378097'
Trascript_details:'NM_069971', '4', '-', '12427522', '12428474'
Trascript_details:'NM_077846', '10', '-', '13466668', '13467668'
Trascript_details:'NM_066132', '3', '-', '7019561', '7020543'
Trascript_details:'NM_067581', '4', '-', '762452', '763664'
Trascript_details:'NM_063086', '2', '-', '7167634', '7168606'
Trascript_details:'NM_064730', '3', '+', '41061', '41970'
Trascript_details:'NM_001047459', '4', '+', '7753509', '7754600'
Trascript_details:'NM_061512', '2', '-', '1105052', '1106930'
Trascript_details:'NR_051779', '3', '-', '6968121', '7030621'
Trascript_details:'NM_001270293', '10', '+', '13469386', '13470308'
Trascript_details:'NM_001047458', '4', '+', '7753395', '7754600'
Trascript_details:'NM_067504', '4', '-', '325518', '326671'
Trascript_details:'NM_073933', '5', '+', '13441952', '13443357'
Trascript_details:'NM_073276', '5', '-', '10420866', '10421869'
Trascript_details:'NM_069160', '4', '-', '8978910', '8979780'
Trascript_details:'NM_182455', '10', '+', '6329123', '6330026'
Trascript_details:'NM_073899', '5', '-', '13317061', '13317984'
Trascript_details:'NM_182467', '10', '+', '6331672', '6332575'
Trascript_details:'NR_070178', '4', '+', '3674859', '4526957'
Trascript_details:'NM_058794', '1', '+', '3653999', '3655268'
Trascript_details:'NM_072673', '5', '-', '8049804', '8050844'
Trascript_details:'NM_182407', '5', '+', '18638455', '18639527'
Trascript_details:'NM_073277', '5', '-', '10423984', '10424987'
Trascript_details:'NM_069466', '4', '+', '10216455', '10217381'
Trascript_details:'NM_077291', '10', '+', '10077567', '10078511'
Trascript_details:'NM_065574', '3', '+', '4748155', '4749097'
Trascript_details:'NM_069428', '4', '-', '10084463', '10085416'
Trascript_details:'NM_001306598', '2', '-', '7167634', '7168606'
Trascript_details:'NM_076659', '10', '+', '6326351', '6327257'
Trascript_details:'NM_001029563', '10', '-', '13510039', '13510999'
Trascript_details:'NM_063358', '2', '-', '8358250', '8359295'
Trascript_details:'NM_068118', '4', '+', '4235623', '4236640'
Trascript_details:'NM_078263', '10', '-', '16380949', '16389255'
Trascript_details:'NM_073039', '5', '-', '7913840', '8316095'
Trascript_details:'NM_067008', '3', '-', '10984513', '10985485'
Trascript_details:'NM_076472', '10', '-', '5148882', '5150401'
Trascript_details:'NM_073883', '5', '-', '13201083', '13202085'
Trascript_details:'NM_067556', '4', '+', '604443', '605876'
Trascript_details:'NM_070565', '4', '-', '16601523', '16602743'
Trascript_details:'NM_077873', '10', '+', '13591427', '13592391'
Trascript_details:'NM_078262', '10', '-', '16380949', '16389255'
Trascript_details:'NM_073580', '5', '+', '11829575', '11831009'
Trascript_details:'NM_076658', '10', '+', '6323451', '6324357'
Trascript_details:'NM_075994', '10', '-', '2144648', '2145639'
Trascript_details:'NM_064264', '2', '-', '12493735', '12495030'
Trascript_details:'NM_060535', '1', '-', '11489219', '11490550'
Trascript_details:'NM_063961', '2', '-', '11015632', '11016765'
Trascript_details:'NM_073882', '5', '-', '13198311', '13199301'
Trascript_details:'NM_001307715', '4', '-', '325518', '326529'
Trascript_details:'NM_067007', '3', '-', '10982100', '10983127'
Dpy-13:352_376
#hits:64
Trascript_details:'NM_001038488', '10', '+', '421724', '422647'
Trascript_details:'NM_001307045', '4', '-', '11973627', '12010857'
Trascript_details:'NR_070265', '3', '+', '12785975', '13210622'
Trascript_details:'NM_069125', '4', '+', '8824800', '8825959'
Trascript_details:'NM_072335', '5', '+', '6831168', '6832195'
Trascript_details:'NM_070407', '4', '-', '14985612', '14986720'
Trascript_details:'NM_058687', '1', '+', '3010691', '3011609'
Trascript_details:'NM_073501', '5', '-', '11449282', '11450323'
Trascript_details:'NM_063909', '2', '+', '10707162', '10708163'
Trascript_details:'NM_001269483', '5', '+', '12353001', '12354061'
Trascript_details:'NM_067737', '4', '-', '1817656', '1820249'
Trascript_details:'NR_070304', '3', '-', '11680279', '11746612'
Trascript_details:'NR_070188', '3', '+', '11023519', '12038522'
Trascript_details:'NM_069126', '4', '-', '8822992', '8824151'
Trascript_details:'NM_001269484', '5', '+', '12353301', '12354061'
Trascript_details:'NM_067302', '3', '+', '13018918', '13020016'
Trascript_details:'NM_171361', '4', '+', '6377095', '6378097'
Trascript_details:'NM_077846', '10', '-', '13466668', '13467668'
Trascript_details:'NM_001129363', '4', '-', '11973627', '11999386'
Trascript_details:'NM_068749', '4', '-', '7245493', '7246629'
